"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.11.2023","3.174,22","3.172,96","3.177,27","3.172,70","","0,04%"
"07.11.2023","3.172,96","3.162,81","3.173,02","3.162,81","","0,32%"
"06.11.2023","3.162,81","3.160,39","3.167,97","3.160,39","","0,08%"
"03.11.2023","3.160,39","3.146,95","3.160,69","3.146,95","","0,43%"
"01.11.2023","3.146,95","3.155,69","3.163,99","3.144,18","","-0,28%"
"31.10.2023","3.155,70","3.156,03","3.164,12","3.154,44","","-0,01%"
"30.10.2023","3.156,07","3.155,68","3.163,01","3.153,35","","0,01%"
"27.10.2023","3.155,69","3.141,77","3.155,70","3.141,52","","0,44%"
"26.10.2023","3.141,77","3.150,21","3.153,61","3.140,23","","-0,27%"
"25.10.2023","3.150,21","3.155,53","3.162,40","3.148,27","","-0,17%"
"24.10.2023","3.155,53","3.172,37","3.175,89","3.155,29","","-0,53%"
"23.10.2023","3.172,40","3.168,39","3.173,11","3.168,39","","0,13%"
"20.10.2023","3.168,43","3.164,11","3.171,36","3.163,99","","0,14%"
"19.10.2023","3.164,08","3.173,79","3.176,96","3.163,08","","-0,31%"
"18.10.2023","3.173,80","3.183,18","3.186,61","3.173,62","","-0,29%"
"17.10.2023","3.183,18","3.190,14","3.192,14","3.180,88","","-0,22%"
"16.10.2023","3.190,17","3.192,01","3.194,36","3.187,01","","-0,06%"
"13.10.2023","3.192,01","3.183,77","3.192,47","3.183,77","","0,26%"
"11.10.2023","3.183,77","3.180,26","3.186,53","3.180,24","","0,11%"
"10.10.2023","3.180,39","3.179,35","3.184,10","3.177,77","","0,03%"
"09.10.2023","3.179,35","3.183,21","3.187,12","3.177,74","","-0,12%"
"06.10.2023","3.183,21","3.183,15","3.186,76","3.180,13","","0,00%"
"05.10.2023","3.183,15","3.184,80","3.191,39","3.180,06","","-0,05%"
"04.10.2023","3.184,79","3.195,71","3.199,38","3.184,23","","-0,34%"
"03.10.2023","3.195,72","3.197,09","3.205,35","3.193,24","","-0,04%"
"02.10.2023","3.197,13","3.219,29","3.221,45","3.196,47","","-0,69%"
"29.09.2023","3.219,28","3.193,19","3.221,30","3.193,19","","0,82%"
"28.09.2023","3.193,17","3.193,15","3.199,73","3.190,77","","0,00%"
"27.09.2023","3.193,15","3.199,14","3.203,76","3.190,85","","-0,19%"
"26.09.2023","3.199,14","3.214,28","3.216,54","3.196,86","","-0,47%"
"25.09.2023","3.214,28","3.226,46","3.229,71","3.211,39","","-0,38%"
"22.09.2023","3.226,39","3.224,24","3.231,03","3.224,24","","0,07%"
"21.09.2023","3.224,24","3.224,70","3.230,11","3.221,98","","-0,01%"
"20.09.2023","3.224,70","3.229,52","3.233,45","3.224,02","","-0,15%"
"19.09.2023","3.229,52","3.233,38","3.239,72","3.227,28","","-0,12%"
"18.09.2023","3.233,38","3.234,09","3.235,63","3.228,32","","-0,02%"
"15.09.2023","3.234,06","3.216,40","3.236,57","3.216,40","","0,55%"
"14.09.2023","3.216,40","3.216,15","3.218,11","3.212,02","","0,01%"
"13.09.2023","3.216,18","3.224,87","3.227,12","3.214,23","","-0,27%"
"12.09.2023","3.224,84","3.226,92","3.228,48","3.222,94","","-0,06%"
"11.09.2023","3.226,93","3.240,34","3.240,67","3.226,42","","-0,41%"
"08.09.2023","3.240,33","3.221,89","3.242,90","3.221,89","","0,57%"
"06.09.2023","3.222,02","3.215,78","3.223,55","3.215,78","","0,19%"
"05.09.2023","3.215,79","3.217,63","3.220,47","3.211,60","","-0,06%"
"04.09.2023","3.217,63","3.217,36","3.222,91","3.214,91","","0,01%"
"01.09.2023","3.217,23","3.212,80","3.222,54","3.212,79","","0,14%"
